Away Team,Away Spread,Home Spread,Home Team,Game Date
DAL,27.00,13.00,TEN,WEEK17
ARI,19.00,20.00,ATL,WEEK17
CHI,10.00,41.00,DET,WEEK17
JAX,31.00,3.00,HOU,WEEK17
DEN,24.00,27.00,KC,WEEK17
MIA,21.00,23.00,NE,WEEK17
IND,10.00,38.00,NYG,WEEK17
NO,20.00,10.00,PHI,WEEK17
CAR,24.00,30.00,TB,WEEK17
CLE,24.00,10.00,WAS,WEEK17
SF,37.00,34.00,LV,WEEK17
NYJ,6.00,23.00,SEA,WEEK17
MIN,17.00,41.00,GB,WEEK17
LA,10.00,31.00,LAC,WEEK17
PIT,16.00,13.00,BAL,WEEK17
BUF,,,-- CANCEL --,WEEK17
CIN,,,-- CANCEL --,WEEK17
